Name,Caliber,status,Height,position,weight,rank,homeTown,Speed(base),Strength(base),Agility(base),Acceleration(base),Jumping(base),Awareness(base),Stamina(base),Injury(base),"Break Tackle(rushing)",Trucking(rushing),Elusiveness(rushing),"Stiff Arm(rushing)","Spin Move(rushing)","Juke Move(rushing)",Carrying(rushing),"Ball Carrier Vision(rushing)","Pass Block(blocking)","Run Block(blocking)","Impact Blocking(blocking)",Catching(receiving),"Spectacular Catch(receiving)","Catch In Traffic(receiving)","Route Running(receiving)",Release(receiving),Tackle(tackling),"Hit Power(tackling)",Pursuit(tackling),"Play Recognition(tackling)","Power Moves(blockingShedding)","Finesse Moves(blockingShedding)","Block Shedding(blockingShedding)","Man Coverage(coverage)","Zone Coverage(coverage)",Press(coverage),"Throw Power(passing)","Throw Accuracy(passing)","Kick Power(kicking)","Kick Accuracy(kicking)","School 1","School 2","School 3","School 4","School 5","School 6","School 7","School 8","School 9","School 10"
"Kyle Jones",2,"Soft Commit","5'11""",WR,"187 lbs",2075,Conway,B,D,B,B,C,,C,C,D,D,D,D,D,D,C,D,,,,D,D,C,C,D,,,,,,,,,,,,,,,Duke,,,,,,,,,
"Justin Jude",2,"10 Schools Remaining","6'0""",DE,"235 lbs",2076,"St. Joseph",D,D,D,C,D,,D,B,,,,,,,,,,,,,,,,,C,D,C,D,D,D,C,,,,,,,,Toledo,,,,,,,,,
"Jason Fowler",2,"10 Schools Remaining","6'7""",T,"280 lbs",2077,"Cathedral City",D,C,D,A,D,,C,D,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,UCLA,,,,,,,,,
"Jake Smith",2,"10 Schools Remaining","6'4""",G,"291 lbs",2078,Levittown,D,C,D,A,D,,D,C,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,Buffalo,,,,,,,,,
"Billy Mixon",2,"10 Schools Remaining","6'0""",MLB,"216 lbs",2079,"Three Rivers",B,C,D,C,C,,C,B,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,"West Virginia","Boston College",,,,,,,,
"Richard Wilson",2,"10 Schools Remaining","6'2""",SS,"210 lbs",2080,Bradenton,C,B,D,C,B,,D,B,,,,,,,,,,,,,,,,,D,B,C,D,D,D,D,D,D,D,,,,,Indiana,,,,,,,,,
"John Long",2,"10 Schools Remaining","5'11""",HB,"205 lbs",2081,"Lincoln Village",B,D,D,D,D,,C,B,D,D,C,B,C,C,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Pittsburgh,,,,,,,,,
"John Woods",2,"10 Schools Remaining","6'1""",WR,"177 lbs",2082,Brea,B,D,D,D,C,,B,C,D,D,D,D,D,D,A,D,,,,D,D,D,D,D,,,,,,,,,,,,,,,Wyoming,,,,,,,,,
"Maurice Williams",2,"10 Schools Remaining","6'3""",DT,"304 lbs",2083,"Grosse Ile",D,C,D,D,D,,D,B,,,,,,,,,,,,,,,,,D,D,C,D,D,D,D,,,,,,,,"Eastern Michigan",,,,,,,,,
"Craig Bush",2,"Soft Commit","6'0""",QB,"189 lbs",2084,Montgomery,D,D,C,D,D,,C,B,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,C,D,,,Toledo,Indiana,,,,,,,,
"Cole Alexander",2,"10 Schools Remaining","6'2""",MLB,"240 lbs",2085,Englewood,C,C,C,C,D,,B,B,,,,,,,,,,,,,,,,,C,C,D,C,C,D,C,D,D,D,,,,,"Michigan State",Ohio,Pittsburgh,"Boston College",,,,,,
"Albert Gallagher",2,"10 Schools Remaining","6'4""",G,"330 lbs",2086,"Lehigh Acres",D,C,C,C,D,,D,C,,,,,,,,,C,B,D,,,,,,,,,,,,,,,,,,,,"Texas Tech",,,,,,,,,
"Stephen Rhoden",2,"10 Schools Remaining","6'5""",QB,"209 lbs",2087,"University Place",C,D,D,C,C,,C,B,C,D,C,D,C,C,D,C,,,,,,,,,,,,,,,,,,,D,D,,,Wyoming,,,,,,,,,
"Glenn Brown",2,"10 Schools Remaining","6'6""",C,"298 lbs",2088,Archdale,D,B,D,C,D,,D,D,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,"NC State",,,,,,,,,
"Malcolm Morris",2,"10 Schools Remaining","6'2""",DE,"216 lbs",2089,Tahlequah,D,D,D,B,D,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,C,D,,,,,,,,Iowa,,,,,,,,,
"Chad Jackson",2,"10 Schools Remaining","6'1""",OLB,"231 lbs",2090,"North Augusta",C,D,D,B,B,,C,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,C,C,D,,,,,"Wake Forest",,,,,,,,,
"Thomas Henderson",2,"10 Schools Remaining","6'1""",DT,"324 lbs",2091,Southaven,D,D,D,D,D,,B,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,"Texas Tech",,,,,,,,,
"Alex McCutcheon",2,"10 Schools Remaining","6'4""",DE,"240 lbs",2092,"East Rockingham",D,D,D,B,D,,D,C,,,,,,,,,,,,,,,,,D,C,D,D,D,C,D,,,,,,,,Vanderbilt,,,,,,,,,
"Kris McClelland",2,"10 Schools Remaining","6'4""",G,"272 lbs",2093,Fairfield,D,B,D,C,D,,D,C,,,,,,,,,D,D,C,,,,,,,,,,,,,,,,,,,,Toledo,"Michigan State","Miami University",Cincinnati,Indiana,,,,,
"Michael White",2,"10 Schools Remaining","6'4""",DE,"244 lbs",2094,Camden,D,D,C,D,B,,D,C,,,,,,,,,,,,,,,,,D,D,B,D,D,C,D,,,,,,,,Ohio,,,,,,,,,
"Jerald Booker",2,"10 Schools Remaining","6'0""",P,"198 lbs",2095,"Elmwood Park",D,D,D,D,D,,B,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,Toledo,Louisville,,,,,,,,
"Ryan Mendoza",2,"10 Schools Remaining","6'3""",P,"207 lbs",2096,"Cedar Hill",D,D,C,D,D,,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,"Texas A&M",TCU,Clemson,Baylor,Stanford,,,,,
"Chad Smith",2,"10 Schools Remaining","5'11""",OLB,"225 lbs",2097,"Sugar Land",C,C,D,A,C,,B,B,,,,,,,,,,,,,,,,,C,C,D,C,D,D,D,D,D,D,,,,,Houston,SMU,Baylor,,,,,,,
"Chris Thomas",2,"10 Schools Remaining","6'6""",T,"283 lbs",2098,Batavia,D,C,C,C,D,,D,B,,,,,,,,,C,D,D,,,,,,,,,,,,,,,,,,,,Louisville,,,,,,,,,
"Travis Davidson",2,"10 Schools Remaining","6'2""",DE,"245 lbs",2099,Zion,D,C,D,C,D,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,"NC State",Tennessee,Missouri,,,,,,,
"Jason Cox",2,"10 Schools Remaining","6'0""",P,"188 lbs",2100,"West Milford",D,D,D,D,D,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,D,Pittsburgh,,,,,,,,,
"Kyle Simon",2,"10 Schools Remaining","6'0""",C,"282 lbs",2101,Sweetwater,D,C,D,B,D,,D,C,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,Vanderbilt,Northwestern,"Ole Miss","Northern Illinois",,,,,,
"Andrew Jones",2,"10 Schools Remaining","5'11""",C,"305 lbs",2102,"Mount Vernon",D,D,D,B,D,,D,D,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,Army,,,,,,,,,
"Ryan Andrews",2,"10 Schools Remaining","6'3""",T,"285 lbs",2103,Hopkins,D,C,D,C,D,,D,D,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,Minnesota,,,,,,,,,
"Robert Cummings",2,"10 Schools Remaining","6'1""",OLB,"205 lbs",2104,Gonzales,B,D,D,B,C,,D,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,"UL Lafayette",,,,,,,,,
"Courtney Blalock",2,"10 Schools Remaining","6'1""",FS,"174 lbs",2105,"Fort Mitchell",B,D,C,C,D,,C,B,,,,,,,,,,,,,,,,,D,C,D,D,D,D,D,D,D,D,,,,,"Western Kentucky",,,,,,,,,
"Travis Boyd",2,"Soft Commit","6'2""",SS,"191 lbs",2106,Pullman,C,C,D,B,C,,B,C,,,,,,,,,,,,,,,,,D,C,C,D,D,D,D,D,D,C,,,,,Washington,,,,,,,,,
"Melvin Logan",2,"10 Schools Remaining","5'11""",CB,"161 lbs",2107,"Fort Defiance",B,D,C,C,C,,B,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,UCLA,,,,,,,,,
"Steve Barrett",2,"10 Schools Remaining","5'10""",OLB,"187 lbs",2108,Conway,D,D,D,D,D,,C,B,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,Virginia,,,,,,,,,
"Steven Richards",2,"10 Schools Remaining","6'2""",TE,"236 lbs",2109,Modesto,B,D,C,C,D,,C,C,C,D,D,D,D,D,D,C,D,D,D,D,D,C,D,C,,,,,,,,,,,,,,,Washington,UCLA,,,,,,,,
"Mike Jennings",2,"10 Schools Remaining","6'1""",SS,"193 lbs",2110,Sandy,B,D,B,B,B,,B,C,,,,,,,,,,,,,,,,,D,C,C,D,D,D,D,D,D,C,,,,,Arizona,,,,,,,,,
"Jahmal Washington",2,"10 Schools Remaining","6'6""",TE,"240 lbs",2111,Iola,D,D,D,C,D,,C,C,D,D,D,D,D,D,D,D,C,D,D,D,D,C,D,D,,,,,,,,,,,,,,,Wyoming,,,,,,,,,
"Brock Madsen",2,"10 Schools Remaining","6'1""",P,"174 lbs",2112,Grafton,D,D,C,C,D,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,Clemson,Toledo,,,,,,,,
"Curtis Koch",2,"10 Schools Remaining","6'2""",FS,"199 lbs",2113,"Red Bank",C,D,C,A,D,,C,C,,,,,,,,,,,,,,,,,D,C,C,D,D,D,D,D,D,D,,,,,"North Carolina",,,,,,,,,
"Mike Lee",2,"10 Schools Remaining","6'3""",T,"284 lbs",2114,Concord,D,B,D,B,D,,B,C,,,,,,,,,C,D,D,,,,,,,,,,,,,,,,,,,,"Boise State",,,,,,,,,
"Dan Johnson",2,"10 Schools Remaining","6'3""",DE,"245 lbs",2115,Mannington,D,C,D,C,C,,D,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,Pittsburgh,,,,,,,,,
"Andy Sanders",2,"10 Schools Remaining","5'9""",HB,"203 lbs",2116,Modesto,C,D,D,B,B,,C,C,D,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Washington,,,,,,,,,
"Sam Caldwell",2,"10 Schools Remaining","6'4""",DE,"265 lbs",2117,"University Park",D,D,D,C,D,,C,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,"Texas State",,,,,,,,,
"Brad Smith",2,"10 Schools Remaining","6'7""",TE,"253 lbs",2118,Edgewater,B,D,C,B,B,,C,C,D,D,D,D,C,D,D,D,D,D,D,B,C,C,D,D,,,,,,,,,,,,,,,"Florida State",Florida,,,,,,,,
"Matt Todd",2,"10 Schools Remaining","6'1""",CB,"184 lbs",2119,"Watford City",B,D,B,B,C,,B,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,"Boise State",,,,,,,,,
"Emmanuel Causey",2,"10 Schools Remaining","6'3""",FS,"194 lbs",2120,Doraville,B,D,B,C,D,,C,B,,,,,,,,,,,,,,,,,D,D,C,D,D,D,D,D,D,D,,,,,"Mississippi State",,,,,,,,,
"Brian Dingle",2,"10 Schools Remaining","6'6""",DE,"240 lbs",2121,Riverdale,D,D,D,D,D,,C,C,,,,,,,,,,,,,,,,,D,D,D,D,C,D,C,,,,,,,,"Wake Forest",,,,,,,,,
"Cody Causey",2,"10 Schools Remaining","6'4""",K,"222 lbs",2122,Atlanta,D,D,D,D,D,,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,Duke,"Georgia Tech","North Carolina",,,,,,,
"Rodney Fuqua",2,"10 Schools Remaining","6'0""",HB,"211 lbs",2123,Westchester,B,D,C,C,C,,B,D,D,D,C,D,C,C,D,D,D,D,D,D,D,D,D,C,,,,,,,,,,,,,,,USF,,,,,,,,,
"Dustin Buchanan",2,"10 Schools Remaining","6'4""",OLB,"240 lbs",2124,"Boca Raton",D,C,D,B,D,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,C,D,D,D,,,,,Miami,FIU,Kentucky,,,,,,,
"Brett Holt",2,"10 Schools Remaining","5'11""",WR,"187 lbs",2125,"Leisure City",D,D,D,C,D,,C,C,D,D,D,D,D,D,B,D,,,,D,D,D,C,D,,,,,,,,,,,,,,,USF,,,,,,,,,
"Adam Rogers",2,"10 Schools Remaining","5'11""",CB,"183 lbs",2126,Seguin,C,D,B,B,C,,C,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,UTEP,,,,,,,,,
"Cody Jones",2,"10 Schools Remaining","6'1""",OLB,"247 lbs",2127,Lakeside,C,D,D,D,C,,C,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,C,D,D,D,,,,,UCF,,,,,,,,,
"Curtis Rogers",2,"10 Schools Remaining","6'1""",SS,"203 lbs",2128,"Key West",B,C,B,B,C,,C,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,"Florida Atlantic",,,,,,,,,
"Jared Holland",2,"10 Schools Remaining","5'9""",WR,"178 lbs",2129,"Pompano Beach",C,D,D,C,C,,B,B,D,D,D,D,D,D,C,D,,,,D,D,D,D,D,,,,,,,,,,,,,,,FIU,,,,,,,,,
"Chase Eaton",2,"10 Schools Remaining","5'11""",WR,"189 lbs",2130,Wharton,C,D,D,C,D,,B,C,D,D,D,D,C,D,B,D,,,,D,D,D,C,D,,,,,,,,,,,,,,,Colorado,Tulane,,,,,,,,
"Derrick Sutton",2,"10 Schools Remaining","6'2""",G,"305 lbs",2131,"South Whittier",D,D,D,C,D,,D,C,,,,,,,,,C,D,D,,,,,,,,,,,,,,,,,,,,Arizona,,,,,,,,,
"Harvey McFadden",2,"10 Schools Remaining","6'2""",G,"273 lbs",2132,Gainesville,D,C,D,C,D,,D,B,,,,,,,,,D,D,C,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,
"Reggie Davis",2,"10 Schools Remaining","5'11""",DT,"284 lbs",2133,"Spring Hill",D,C,D,D,D,,C,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,Marshall,,,,,,,,,
"Anthony Smith",2,"10 Schools Remaining","6'5""",DE,"249 lbs",2134,"La Marque",D,C,D,B,D,,D,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,"North Texas",,,,,,,,,
"Sam Perkins",2,"10 Schools Remaining","6'6""",QB,"227 lbs",2135,Pasadena,B,D,C,D,C,,B,B,C,D,D,D,C,D,D,D,,,,,,,,,,,,,,,,,,,D,D,,,Tulsa,,,,,,,,,
"Brian Hunter",2,"10 Schools Remaining","6'0""",CB,"177 lbs",2136,"Santa Maria",B,D,B,B,B,,B,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,Hawai'i,,,,,,,,,
"Lorenzo Cunningham",2,"10 Schools Remaining","5'11""",WR,"196 lbs",2137,Mercedes,C,D,D,C,B,,D,B,D,D,D,D,D,D,B,D,,,,D,D,D,D,D,,,,,,,,,,,,,,,Tulsa,,,,,,,,,
"Ryan Johnson",2,"10 Schools Remaining","5'11""",CB,"169 lbs",2138,Sacramento,B,D,B,C,C,,B,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,C,D,D,,,,,Nevada,"Oregon State",,,,,,,,
"Cameron Thomas",2,"10 Schools Remaining","6'2""",QB,"212 lbs",2139,Pasadena,D,D,D,D,D,,B,D,D,C,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,D,D,,,TCU,Colorado,,,,,,,,
"Bill Nelson",1,"10 Schools Remaining","6'1""",SS,"195 lbs",2140,"Los Angeles",C,D,B,B,B,,D,C,,,,,,,,,,,,,,,,,D,C,D,D,D,D,D,D,D,C,,,,,"San Jose State",Idaho,"New Mexico","Utah State","Washington State","Eastern Michigan","Ball State",Akron,,
"Matthew Davis",1,"10 Schools Remaining","6'0""",DE,"227 lbs",2141,Terrell,D,D,D,D,D,,A,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,"Texas State",Kansas,"North Texas","Utah State",Minnesota,"New Mexico State",Tulane,,,
"Gerry Jackson",1,"10 Schools Remaining","5'11""",P,"223 lbs",2142,"Citrus Heights",D,D,D,D,D,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,"San Diego State",Troy,"Western Michigan",UCLA,Nevada,UAB,"Florida Atlantic",,,
"R.J. Smith",1,"10 Schools Remaining","6'0""",MLB,"237 lbs",2143,Gainesville,D,C,D,B,D,,D,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,"North Texas",Minnesota,"New Mexico State","Texas State",Troy,"New Mexico",Memphis,,"San Jose State",
"Gabe Johnson",1,"10 Schools Remaining","6'1""",MLB,"227 lbs",2144,Woodway,C,C,C,A,C,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,C,D,D,D,D,D,,,,,"Arkansas State",Tulane,Minnesota,"New Mexico State","Texas State","Utah State","New Mexico",Memphis,,"North Texas"
"Amir Bean",1,"10 Schools Remaining","6'4""",QB,"207 lbs",2145,Stephenville,D,D,D,D,D,,D,B,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,B,D,,,"North Texas",Minnesota,"New Mexico State","Utah State",Kansas,UMass,"Western Kentucky","Eastern Michigan",,
"Charlie Cooke",1,"10 Schools Remaining","6'3""",MLB,"225 lbs",2146,Merrydale,D,D,D,C,D,,D,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,Tulane,Memphis,"North Texas",,,,,,,
"Nick Mayfield",1,"10 Schools Remaining","6'2""",C,"283 lbs",2147,Rayne,D,C,D,C,D,,C,B,,,,,,,,,D,D,C,,,,,,,,,,,,,,,,,,,,FIU,"Eastern Michigan",Miami,UCF,"Central Michigan","Mid Tenn State","North Texas","Ball State",Akron,Memphis
"Andre Bradford",1,"10 Schools Remaining","6'4""",C,"321 lbs",2148,Brighton,D,C,D,C,D,,C,B,,,,,,,,,D,D,C,,,,,,,,,,,,,,,,,,,,"Colorado State",Tulsa,UCLA,Troy,"Eastern Michigan",Temple,UMass,"Ball State","Western Kentucky",USF
"Micah Workman",1,"10 Schools Remaining","6'2""",DE,"230 lbs",2149,Brighton,D,D,D,C,D,,B,C,,,,,,,,,,,,,,,,,D,C,D,D,C,B,D,,,,,,,,"Fresno State",Idaho,Kansas,"San Jose State","Texas State","Utah State","New Mexico State",,,
"Landon Burns",1,"10 Schools Remaining","6'4""",G,"308 lbs",2150,"Port Charlotte",D,C,D,C,D,,D,C,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,"Central Michigan",Minnesota,"Western Kentucky","Florida Atlantic",FIU,"Bowling Green",Troy,UAB,"North Texas","Kent State"
"Andre Brown",1,"10 Schools Remaining","6'1""",DE,"246 lbs",2151,Elyria,D,D,C,C,D,,C,C,,,,,,,,,,,,,,,,,D,C,D,D,D,D,D,,,,,,,,"Ball State","Eastern Michigan",Akron,"Bowling Green","Kent State",,,,,
"Jon Manson",1,"10 Schools Remaining","5'10""",SS,"204 lbs",2152,Strongsville,B,C,D,C,C,,C,C,,,,,,,,,,,,,,,,,D,D,C,D,D,D,D,D,D,D,,,,,Kentucky,Akron,"Bowling Green","Eastern Michigan","Ball State",,,,,
"Jake Clemons",1,"10 Schools Remaining","6'3""",P,"219 lbs",2153,Monessen,D,D,D,D,D,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,Ohio,Pittsburgh,Cincinnati,,,,,,,
"Ryan Scott",1,"10 Schools Remaining","6'3""",OLB,"228 lbs",2154,"Missouri City",D,D,D,B,C,,C,C,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,D,C,D,,,,,Kansas,"San Diego State","New Mexico","Utah State",Tulane,UMass,"Texas State","North Texas",,
"Marcus Mays",1,"10 Schools Remaining","6'2""",WR,"179 lbs",2155,Sumter,C,D,D,C,B,,B,C,D,D,D,D,D,D,A,D,,,,D,D,D,D,D,,,,,,,,,,,,,,,"Bowling Green","Mid Tenn State","Eastern Michigan","Central Michigan","Western Michigan",UMass,"Western Kentucky","Ball State",UAB,USF
"Julius Dixon",1,"10 Schools Remaining","6'4""",QB,"236 lbs",2156,O'Fallon,D,D,D,D,B,,B,C,D,D,D,D,D,D,C,D,,,,,,,,,,,,,,,,,,,C,D,,,"Western Kentucky",UMass,Kansas,,,,,,,
"Shelton Smith",1,"10 Schools Remaining","6'4""",DE,"227 lbs",2157,Ashtabula,D,D,D,D,D,,D,D,,,,,,,,,,,,,,,,,D,B,D,D,D,D,D,,,,,,,,"Ball State","Eastern Michigan",Iowa,Akron,"Bowling Green","Kent State",,,,
"John Wagner",1,"10 Schools Remaining","6'2""",QB,"195 lbs",2158,Irvine,D,D,D,C,D,,C,C,D,D,D,D,D,D,D,C,,,,,,,,,,,,,,,,,,,C,C,,,Hawai'i,"San Diego State","New Mexico State","San Jose State","Utah State","Washington State",Kansas,"Western Kentucky",UMass,
"Pete Richardson",1,"10 Schools Remaining","6'4""",OLB,"214 lbs",2159,Dolton,D,D,D,C,C,,B,B,,,,,,,,,,,,,,,,,D,B,D,D,D,D,C,D,D,D,,,,,"Eastern Michigan","Ball State","Western Kentucky","Central Michigan","Western Michigan",,,,,
"Justin Lawson",1,"10 Schools Remaining","6'0""",T,"290 lbs",2160,"La Verne",D,C,D,C,D,,C,D,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,"San Jose State",Kansas,Idaho,UNLV,"Utah State","New Mexico","New Mexico State",Tulane,,
"Mark Marks",1,"10 Schools Remaining","6'2""",DT,"274 lbs",2161,Ottawa,D,C,D,D,D,,D,C,,,,,,,,,,,,,,,,,D,D,D,D,D,C,D,,,,,,,,"Bowling Green","Eastern Michigan","Ball State",Iowa,"Central Michigan","Kent State",Akron,Idaho,,
"Josh Parker",1,"10 Schools Remaining","6'1""",FS,"203 lbs",2162,"North Bethesda",C,D,C,B,D,,C,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,Connecticut,UMass,"Western Michigan",,,,,,,
"Michael Summers",1,"10 Schools Remaining","6'3""",ATH,"222 lbs",2163,"San Diego",C,D,B,B,C,,C,C,D,D,D,D,D,D,A,D,,,,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,,,UCLA,"Boise State",Miami,Kansas,"Bowling Green",Idaho,"New Mexico","Eastern Michigan","Central Michigan","Ball State"
"Brian Thomas",1,"10 Schools Remaining","6'4""",MLB,"244 lbs",2164,Thatcher,D,D,D,B,C,,D,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,D,D,D,,,,,Nevada,,,,,,,,,
"Brandon Whitworth",1,"10 Schools Remaining","6'5""",OLB,"229 lbs",2165,"Forest Acres",C,D,D,C,D,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,B,D,,,,,FIU,,,,,,,,,
"Chandler Joseph",1,"10 Schools Remaining","6'3""",FS,"189 lbs",2166,Campbellsville,C,B,D,C,D,,C,C,,,,,,,,,,,,,,,,,D,C,D,D,D,D,D,D,D,D,,,,,Kentucky,UMass,,,,,,,,
"John Andrews",1,"10 Schools Remaining","6'2""",FS,"210 lbs",2167,Rainsville,C,D,D,C,D,,C,B,,,,,,,,,,,,,,,,,D,B,D,D,D,D,D,D,D,B,,,,,Troy,"Florida Atlantic",USF,UAB,,,,,,
"Reggie Smith",1,"10 Schools Remaining","6'2""",FS,"197 lbs",2168,"Phenix City",C,C,C,C,C,,D,B,,,,,,,,,,,,,,,,,D,C,D,D,D,D,D,D,D,C,,,,,"Florida Atlantic",Troy,,USF,UAB,,,,,
"Kellen Wilson",1,"10 Schools Remaining","6'2""",QB,"201 lbs",2169,Carmel,D,D,D,D,D,,C,B,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,B,D,,,Indiana,"Boston College","Western Kentucky","Michigan State","Ball State",,,,,
"Colby DeLuca",1,"10 Schools Remaining","6'6""",T,"278 lbs",2170,Madison,D,D,D,B,D,,D,B,,,,,,,,,C,D,D,,,,,,,,,,,,,,,,,,,,UMass,"Western Michigan",Louisville,Marshall,Temple,,,,,
"Bobby Williams",1,"10 Schools Remaining","6'2""",DT,"271 lbs",2171,Countryside,D,D,D,D,D,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,Temple,,"Bowling Green","New Mexico State",Idaho,,UAB,"San Jose State",USF,"Central Michigan"
"Jeremy Wheeler",1,"10 Schools Remaining","6'3""",DE,"249 lbs",2172,Gardendale,D,C,D,D,D,,B,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,Troy,"San Jose State",UAB,,,,,,,
"Dale McDowell",1,"10 Schools Remaining","6'2""",DE,"248 lbs",2173,Bolingbrook,D,B,D,C,D,,C,C,,,,,,,,,,,,,,,,,D,C,C,C,D,C,C,,,,,,,,"Arkansas State",ECU,Tennessee,"Ball State","Central Michigan","Eastern Michigan","Western Kentucky",,,
"Adam Daniels",1,"10 Schools Remaining","6'7""",DE,"255 lbs",2174,Edgewood,D,D,D,C,D,,C,B,,,,,,,,,,,,,,,,,D,D,C,C,D,C,D,,,,,,,,Louisville,"Western Kentucky",,,,,,,,
"Jared Bentley",1,"10 Schools Remaining","6'0""",OLB,"222 lbs",2175,Bessemer,B,D,C,B,D,,C,C,,,,,,,,,,,,,,,,,D,D,D,C,D,C,D,D,D,D,,,,,"San Jose State",USF,"Texas State",UAB,,,,,,
"Darrell Dunn",1,"10 Schools Remaining","6'3""",C,"282 lbs",2176,"Safety Harbor",D,C,D,B,D,,D,C,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,Minnesota,Miami,"Eastern Michigan","Bowling Green","Central Michigan","Mid Tenn State","Ball State","Kent State","Florida Atlantic",
"Todd Harris",1,"10 Schools Remaining","6'3""",FS,"209 lbs",2177,Haleyville,C,C,D,D,C,,D,B,,,,,,,,,,,,,,,,,D,B,C,D,D,D,D,D,D,C,,,,,UAB,Troy,USF,,,,,,,
"Scott Jackson",1,"10 Schools Remaining","6'4""",T,"277 lbs",2178,Fayette,D,C,D,C,D,,C,C,,,,,,,,,C,D,D,,,,,,,,,,,,,,,,,,,,Troy,UAB,USF,"San Jose State",,,,,,
"Justin Hodges",1,"10 Schools Remaining","6'3""",OLB,"223 lbs",2179,"Oak Creek",C,D,D,C,D,,B,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,"Northern Illinois",,,,,,,,,
"Andy Jones",1,"10 Schools Remaining","6'1""",CB,"172 lbs",2180,"Jefferson City",B,D,C,B,B,,D,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,Memphis,"Mid Tenn State",,,,,,,,
"Travis Peters",1,"10 Schools Remaining","6'0""",K,"202 lbs",2181,"Wake Forest",D,D,D,D,D,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,Duke,Kansas,"Texas State",Louisville,,,,,,
"Roy Rogers",1,"5 Schools Remaining","6'5""",DT,"258 lbs",2182,"St. Cloud",D,D,D,D,D,,D,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,,,,,,,,Minnesota,"Central Michigan","Washington State","New Mexico State","Utah State",UAB,"Western Kentucky",Akron,,
